Discussed	Authors	Title	Year	Abstract
	Mariani S.; Omicini A.	Space-aware coordination in ReSpecT	2013	Spatial issues are essential in new classes of complex software systems, such as pervasive, multi-agent, and self-organising ones. Understanding the basic mechanisms of spatial coordination is a fundamental issue for coordination models and languages in order to deal with such systems, governing situated interaction in the spatio-temporal fabric. Along this line, in this paper we make space-aware coordination media out of ReSpecT tuple centres, by introducing the few basic mechanisms and constructs that enable the ReSpecT language to face most of the main challenges of spatial coordination in complex software systems.
	Bergenti F.; Caire G.; Gotta D.	An overview of the AMUSE social gaming platform	2013	This paper presents an overview of the novel platform AMUSE (Agent-based Multi-User Social Environment), an agent-based social gaming platform that leverages the power of industrial-strength agent technologies. The core need that motivated the initial work on AMUSE was to provide game developers with a solid tool targeting common horizontal issues in social gaming, like user management and game state management, for games with synchronous and asynchronous interactions. AMUSE fulfills such a need by means of industrial-strength agent technology. Actually, AMUSE is not only a development framework that can be effectively used to implement prototypes and small-scale games with just a few concurrent players. Rather, it is thought as a PaaS (Platform as a Service) tool that enables service provides, like game portals and community portals, to relief game factories from the burden of implementing horizontal functionality that are common to a large set of games. This paper is a first presentation of the work on AMUSE and it starts framing AMUSE into the scope of social gaming. Then, the paper describes the architecture of the multi-agent system that represents the core of AMUSE and it relates the presented agent types with the functionality that AMUSE provides. Finally, the paper outlines some directions of future development.
	Khan S.D.; Crociani L.; Vizzari G.	Integrated analysis and synthesis of pedestrian dynamics: First results in a real world case study	2013	The paper introduces an agent-based model for the simulation of crowds of pedestrians whose main innovative element is the representation and management of an important type of social interaction among the pedestrians: members of groups, in fact, carry out of a form of interaction (by means of verbal or non-verbal communication) that allows them to preserve the cohesion of the group even in particular conditions, such as counter flows, presence of obstacles or narrow passages. The paper formally describes the model and presents its application to a real world scenario in which an analysis of the impact of groups on the overall observed system dynamics was performed. The simulation results are compared to empirical data and they show that the introduced model is able to produce quantitatively plausible results in situations characterised by the presence of groups of pedestrians.
	Baldoni M.; Baroglio C.; Capuzzimati F.	2COMM: A commitment-based MAS architecture	2013	Social expectations and social dependencies are a key characteristic of interaction, which should be explicitly accounted for by the agent platform, supporting the coordination of the involved autonomous peers. To this aim, it is necessary to provide a normative characterization of coordination and give a social meaning to the agents' actions. We focus on one of the best-known agent platforms, Jade, and show that it is possible to account for the social layer of interaction by exploiting commitment-based protocols, by modifying the Jade Methodology so as to include the new features in a seamless way, and by relying on the notion of artifact, along the direction outlined in the Mercurio proposal. This is a light revision of a paper presented a EMAS 2013.
	Di Napoli C.; Di Nocera D.; Rossi S.	Evaluating negotiation cost for QoS-aware service composition	2013	The value of commercial Service-Based Applications (SBAs) will depend not only on their functionality, but also on the value of their non-functional properties, known as QoS attributes, that are not tied to a specific functionality, but rather to its delivery features. QoS values may vary according to the provision strategies of providers as well as users' requirements expressed as global constraints on the SBA QoS. Automatic negotiation is a viable approach to drive QoS-aware selection of services for SBAs, but its adoption may result computationally expensive due to the communication overhead among the involved negotiators, so limiting its application to real service-based scenarios. In this paper, an empirical evaluation of the impact of negotiation communication costs occurred when composing services to deliver a QoS-aware SBA is carried out, in order to estimate the advantages and disadvantages of negotiation in a market of services, and to identify negotiation parameters settings for which communication costs can be compensated by an increased probability for the negotiation to succeed.
	Agazzi F.; Tomaiuolo M.	Trust negotiation for automated service integration	2013	This paper presents a generic Trust Negotiation framework for Web services, based on the WS-Trust standard. It allows users to create trust incrementally, by disclosing credentials step by step. This way, services and resources can be shared in an open environment, and access can be realized on the basis of peer-to-peer trust relationships. The paper also describes a practical implementation of the framework, which integrates a modular trust engine and a rule engine, which is used as a policy checker.
	Pozzi F.A.; Fersini E.; Blanc D.; Messina E.	Enhance polarity classification on social media through sentiment-based feature expansion	2013	Online social networking communities usually exhibit complex collective behaviors. Since emotions play a relevant role in human decision making, understanding how online networks drive human mood states become a task of considerable interest. One of the most relevant task in Sentiment Analysis is Polarity Classification, aimed at classifying the sentiment behind texts. We formulated different assumptions regarding which patterns within a message can be relevant sentiment indicators. Differently from well-formed texts, messages on social networks contain emoticons which could be strong sentiment indicators. For this, the first assumption states that the occurrences of emoticons representing a certain polarity could strongly agree with the overall message polarity. We then expanded the feature space including initialisms for emphatic and onomatopoeic expressions (e.g. bleh, wow, etc.) and "stretched words" (words with a letter repeated several times to emphasize a mood), extensively used in social media messages, because they could be useful information to help in determining the sentiment. Detailed analyses have been performed in order to support our assumptions. Four Machine Learning (supervised) classifiers are applied upon the expanded feature space model. Several experiments show that the considered features lead to increments of accuracy up to 5%.
	Pozzi F.A.; Fersini E.; Blanc D.; Messina E.	Enhance polarity classification on social media through sentiment-based feature expansion	2013	Online social networking communities usually exhibit complex collective behaviors. Since emotions play a relevant role in human decision making, understanding how online networks drive human mood states become a task of considerable interest. One of the most relevant task in Sentiment Analysis is Polarity Classification, aimed at classifying the sentiment behind texts. We formulated different assumptions regarding which patterns within a message can be relevant sentiment indicators. Differently from well-formed texts, messages on social networks contain emoticons which could be strong sentiment indicators. For this, the first assumption states that the occurrences of emoticons representing a certain polarity could strongly agree with the overall message polarity. We then expanded the feature space including initialisms for emphatic and onomatopoeic expressions (e.g. bleh, wow, etc.) and "stretched words" (words with a letter repeated several times to emphasize a mood), extensively used in social media messages, because they could be useful information to help in determining the sentiment. Detailed analyses have been performed in order to support our assumptions. Four Machine Learning (supervised) classifiers are applied upon the expanded feature space model. Several experiments show that the considered features lead to increments of accuracy up to 5%.
	Sernani P.; Claudi A.; Palazzo L.; Dolcini G.; Dragoni A.F.	A multi-agent solution for the interoperability issue in health information systems	2013	To achieve high quality and efficiency standards, interoperability between different information systems in healthcare is strongly required. Distribution, high modularity, robustness are features of agent oriented architectures, making MultiAgent Systems (MAS) ideal for Health Information Systems (HIS), as the healthcare domain is characterized by system and data heterogeneity. This paper presents an agent oriented architecture to address this kind of issues, capable to access geographically distributed data to allow health professionals to retrieve/update any patient's record efficiently and reliably. The proposed architecture is composed by three layers, to allow local data storage keeping clinical information available by authorized facilities and physicians. Furthermore MAS technology integrates with legacy systems, wrapping them with agents.
	Mariani S.	Parameter Engineering vs. Parameter tuning: The case of biochemical coordination in MoK	2013	To cope with nowadays MAS complexity, nature-inspired coordination models and languages gained increasing attention: in particular, biochemical coordination models. Being intrinsically stochastic and self-organising, the effectiveness of their outcome likely depends on a correct parameter tuning stage. In this paper, we focus on chemical reactions rates, showing that simply imitating chemistry "as it is" may be not enough for the purpose of effectively engineer complex, self-organising coordinated systems such as MoK.
	Sartori F.; Manenti L.; Grazioli L.	A conceptual and computational model for knowledge-based agents in ANDROID	2013	Today ANDROID is the most popular mobile operating system in the world: the development of ANDROID, together with the performance improvement offered by modern PDAs, like smart-phones and tablets, has allowed many users to know new kinds of applications that were not accessible to them in the recent past. In this paper we present a framework for programming agents in the ANDROID world, based on the Knowledge Artifact notion to develop knowledge-based systems. This framework has been modeled as a client-server architecture, with the aim to show how the implementation of agents modeled on the basis of Knowledge Artifacts can help everyone to design, implement and use decision support systems for a specific domain, with many potential benefits in their day-by-day activities. The framework application will be presented in a prototype to support operators of Italian Fire Corps and Civil Protection Department in critical situations, like geographically distributed fires and earthquakes management.
	Baldoni M.; Baroglio C.; Capuzzimati F.	2COMM: A commitment-based MAS architecture	2013	Social expectations and social dependencies are a key characteristic of interaction, which should be explicitly accounted for by the agent platform, supporting the coordination of the involved autonomous peers. To this aim, it is necessary to provide a normative characterization of coordination and give a social meaning to the agents' actions. We focus on one of the best-known agent platforms, Jade, and show that it is possible to account for the social layer of interaction by exploiting commitment-based protocols, by modifying the Jade Methodology so as to include the new features in a seamless way, and by relying on the notion of artifact, along the direction outlined in the Mercurio proposal. This is a light revision of a paper presented a EMAS 2013.
	Fortino G.; Russo W.	Towards a cloud-assisted and agent-oriented architecture for the Internet of Things	2013	In the Internet of Things (IoT), all things (e.g. sensors, actuators, smart devices, smart objects, RFID, embedded computers, robots) have their identities, physical attributes, and interfaces. They will be seamlessly integrated into the information network such that they will become active participants in business, information and social processes wherever and whenever needed and proper. The technical realization of this vision is a complex challenge as distributed heterogeneous IoT components at different levels of abstractions need to cooperate among themselves, with conventional networked IT infrastructures, and also with human users. To cope with this issue, we propose the synergic exploitation of two complementary mainstream paradigms for large-scale distributed computing: the agent-oriented and the cloud computing paradigms. While the former can support the development of decentralized, dynamic, cooperating and open IoT systems in terms of multi-agent systems, the latter can empower the IoT objects with more computing and memory resources and effectively support system-wide higher-level mechanisms and policies. In this paper, we introduce a cloud-assisted and agent-oriented vision for IoT based on layered reference architecture. Finally, we briefly overview our agent-oriented middleware for cooperating smart objects and a sensor-cloud infrastructure that represent the basic building blocks for technically achieving such vision.
	Agazzi F.; Tomaiuolo M.	Trust negotiation for automated service integration	2013	This paper presents a generic Trust Negotiation framework for Web services, based on the WS-Trust standard. It allows users to create trust incrementally, by disclosing credentials step by step. This way, services and resources can be shared in an open environment, and access can be realized on the basis of peer-to-peer trust relationships. The paper also describes a practical implementation of the framework, which integrates a modular trust engine and a rule engine, which is used as a policy checker.
	Khan S.D.; Crociani L.; Vizzari G.	Integrated analysis and synthesis of pedestrian dynamics: First results in a real world case study	2013	The paper introduces an agent-based model for the simulation of crowds of pedestrians whose main innovative element is the representation and management of an important type of social interaction among the pedestrians: members of groups, in fact, carry out of a form of interaction (by means of verbal or non-verbal communication) that allows them to preserve the cohesion of the group even in particular conditions, such as counter flows, presence of obstacles or narrow passages. The paper formally describes the model and presents its application to a real world scenario in which an analysis of the impact of groups on the overall observed system dynamics was performed. The simulation results are compared to empirical data and they show that the introduced model is able to produce quantitatively plausible results in situations characterised by the presence of groups of pedestrians.
	Poggi A.	Replaceable implementations for actor systems	2013	CoDE is an actor-based software framework aimed at both simplifying the development of large and distributed complex systems and guarantying an efficient execution of applications. This software framework takes advantage of a concise actor model that makes easy the development of the actor code by delegating the management of events (i.e., the reception of messages) to the execution environment. Moreover, it allows the development of scalable and efficient applications through the possibility of using different implementations of the components that drive the execution of actors. This paper introduces the software framework and shows how the performance of applications can be optimized by choosing the best combination among the alternative implementations of its components.
	De Meo P.; Ferrara E.; Rosaci D.; Sarné G.M.L.	How to improve group homogeneity in Online Social Networks	2013	The formation and evolution of interest groups in Online Social Networks is driven by both the users' preferences and the choices of the groups' administrators. In this context, the notion of homogeneity of a social group is crucial: it accounts for determining the mutual similarity among the members of a group and it's often regarded as fundamental to determine the satisfaction of group members. In this paper we propose a group homogeneity measure that takes into account behavioral information of users, and an algorithm to optimize such a measure in a social network scenario by matching users and groups profiles. We provide an advantageous formulation of such framework by means of a fully-distributed multi-agent system. Experiments on simulated social network data clearly highlight the performance improvement brought by our approach.
	Mariani S.; Omicini A.	Tuple-based coordination of stochastic systems with uniform primitives	2013	Complex computational systems - such as pervasive, adaptive, and self-organising ones - typically rely on simple yet expressive coordination mechanisms: this is why coordination models and languages can be exploited as the sources of the essential abstractions and mechanisms to build such systems. While the features of tuple-based models make them well suited for complex system coordination, they lack the probabilistic mechanisms for modelling the stochastic behaviours typically required by adaptivity and self-organisation. To this end, in this paper we explicitly introduce uniform primitives as a probabilistic specialisation of standard tuple-based coordination primitives, replacing don't know non-determinism with uniform distribution. We define their semantics and discuss their expressiveness and their impact on system predictability.
	Ribino P.; Cossentino M.; Lodato C.; Lopes S.; Sabatucci L.; Seidita V.	Ontology and goal model in designing BDI multi-agent systems	2013	Nowadays several methodological approaches exist, each of them tightly tied up with the implementation platform supporting it. In this paper we propose an intermediate step toward the definition of a methodological approach for supporting the JACAMO framework. This paper resumes a previous work, focused on modeling BDI organizations, and we now address the requirements analysis phase. In particular, we propose the use of an ontological model and a goal model for representing requirements and the domain formalization respectively. The two portions of design process are connected by a heuristic process that allows to extract goals from the ontological model. The resulting models are also used for completing each other and for enhancing the problem description that is considered an input to our process. In the paper we use the well-known case study of the conference management system for illustrating the proposed portion of process.
	Fortino G.; Russo W.	Towards a cloud-assisted and agent-oriented architecture for the internet of things	2013	In the Internet of Things (IoT), all things (e.g. sensors, actuators, smart devices, smart objects, RFID, embedded computers, robots) have their identities, physical attributes, and interfaces. They will be seamlessly integrated into the information network such that they will become active participants in business, information and social processes wherever and whenever needed and proper. The technical realization of this vision is a complex challenge as distributed heterogeneous IoT components at different levels of abstractions need to cooperate among themselves, with conventional networked IT infrastructures, and also with human users. To cope with this issue, we propose the synergic exploitation of two complementary mainstream paradigms for large-scale distributed computing: the agent-oriented and the cloud computing paradigms. While the former can support the development of decentralized, dynamic, cooperating and open IoT systems in terms of multi-agent systems, the latter can empower the IoT objects with more computing and memory resources and effectively support system-wide higher-level mechanisms and policies. In this paper, we introduce a cloud-assisted and agent-oriented vision for IoT based on layered reference architecture. Finally, we briefly overview our agent-oriented middleware for cooperating smart objects and a sensor-cloud infrastructure that represent the basic building blocks for technically achieving such vision.
	Di Napoli C.; Di Nocera D.; Rossi S.	Evaluating negotiation cost for QoS-aware service composition	2013	The value of commercial Service-Based Applications (SBAs) will depend not only on their functionality, but also on the value of their non-functional properties, known as QoS attributes, that are not tied to a specific functionality, but rather to its delivery features. QoS values may vary according to the provision strategies of providers as well as users' requirements expressed as global constraints on the SBA QoS. Automatic negotiation is a viable approach to drive QoS-aware selection of services for SBAs, but its adoption may result computationally expensive due to the communication overhead among the involved negotiators, so limiting its application to real service-based scenarios. In this paper, an empirical evaluation of the impact of negotiation communication costs occurred when composing services to deliver a QoS-aware SBA is carried out, in order to estimate the advantages and disadvantages of negotiation in a market of services, and to identify negotiation parameters settings for which communication costs can be compensated by an increased probability for the negotiation to succeed.
	Mariani S.	Parameter engineering vs. parameter tuning: The case of biochemical coordination in MoK	2013	To cope with nowadays MAS complexity, nature-inspired coordination models and languages gained increasing attention: in particular, biochemical coordination models. Being intrinsically stochastic and self-organising, the effectiveness of their outcome likely depends on a correct parameter tuning stage. In this paper, we focus on chemical reactions rates, showing that simply imitating chemistry "as it is" may be not enough for the purpose of effectively engineer complex, self-organising coordinated systems such as MoK.
	Bergenti F.; Poggi A.; Tomaiuolo M.	Social information retrieval with agents	2014	With the widespread adoption of online social networks as a crucial means for communication, social information retrieval is becoming one of the most interesting areas of research in terms of the large number of-theoretical and practical-issues that it encompasses. We argue that agent technology is central in supporting the decentralization of next generation online social networks and the synergistic pairing of agents and social networks is evident, if nothing else, because members of a social network interact as agents do in a multi-agent system. In this paper we investigate the possibilities that agent technology can offer to social information retrieval and we emphasize the role that agents and multi-agent systems can play by presenting Blogracy, an agent-based online social network system.
1	Baldoni M.; Baroglio C.; Capuzzimati F.	Social relationships for designing agent interaction in JADE	2014	Current agent platforms do not provide agents the means for reasoning about expected behaviours during interactions. This lack is due to the absence of design primitives to explicitly shape interaction patterns as first-class resources. This work presents 2COMM4JADE, a framework based on JADE and CArtAgO platforms that allows definition of social relationships among parties, represented by social commitments, decoupled from the agent design itself.
	Postorino M.N.; Sarné G.M.L.	An agent-based sensor grid to monitor urban traffic	2014	The growing of vehicular traffic in urban areas has worsened the citizens' quality of life. Therefore some actions to reduce their negative effects and to improve transport network performances have been implemented over the years. To this purpose, agent-based Intelligent Transport Systems can contribute to manage a transport network. In this work, a non-intrusive grid of agent-based sensors able to monitor traffic parameters is proposed. It exploits acoustic signatures of road vehicles and then analyses them to estimate traffic flows. Moreover, cooperating neighboring agent sensors implement a trust system to improve their performances. Some experimental results show the feasibility and the advantages of the proposed solution. Acoustic Vehicle Signature Multi-Agent System Sensors Grid Transport System Trust System.
	Cossentino M.; Nogare D.D.; Giancarlo R.; Lodato C.; Lopes S.; Ribino P.; Sabatucci L.; Seidita V.	Gimt: A tool for ontology and goal modeling in BDI multi-agent design	2014	Designing and developing BDI multi-agent systems would be facilitated by rising up the level of abstraction to use and by a methodological approach for managing it. To this aim it is common the integration of goal oriented analysis techniques with the design and implementation phases. In this fashion, our experience is that the use of an ontology in the early stages of the process is a great support for subsequent phases: goal modeling, agent design and implementation. However, we are aware that building and maintaining an ontology has to be supported by appropriate tools. This paper proposes GIMT (Goal Identification and Modeling Tool) as a further step towards the creation of a complete methodological approach for developing multi-agent systems to be implemented in the JACAMO framework. GIMT is a CASE tool for supporting ontology building and goal modeling. Besides the advantages offered by an automatic tool, the other novelty of this research is in the mapping between metamodeling based on Model Driven Engineering (MDE) and Domain Specific Modeling Languages (DSMLs) with the Eclipse plug-in development environment.
1	Mariani S.; Omicini A.	TuCSoN coordination for MAS situatedness: Towards a methodology	2014	Agent-based technologies embed solutions for critical issues in agent-oriented software engineering. In this paper we describe the coordination-based approach to MAS situatedness as promoted by the TuCSoN middleware, by sketching the steps of an agent-oriented methodology from the TuCSoN meta-model down to the TuCSoN programming environment.
	Bergenti F.; Caire G.; Gotta D.	Agents on the move: JADE for android devices	2014	In this paper we describe the current state of the development of JADE add-on for Android, a platform module that enables the deployment of JADE agents on Android devices. First, we motivate the research and we describe the rationale of the project. Then, we detail the coarse-grained architecture of the platform module and we discuss the underlying design decisions. The API of the module is also discussed to detail how programmers use it to host JADE agents on mobile devices. Finally, we briefly outline conclusions on the presented work.
	Barile F.; Caso A.; Rossi S.	Group recommendation for smart applications: A multi-agent view of the problem	2014	The widespread use of social networks is modifying our way to live our cities and to plan/decide our activities. The long-term goal of our research is to provide users with group recommendation and decision support systems for smart city applications that rely on the analysis of the users' behaviors on social networks/media. In this paper, we provide an overview of the group recommendation literature from a game-theoretical/multiagent system classical point of view, and we present a practical example where a social choice mechanism is extended with social information extracted from the analysis of the interactions, within small groups of users, on a social network. The research leading to these results has received funding from the Italian Ministry of University and Research and EU under the PON OR.C.HE.S.T.R.A. project (ORganization of Cultural HEritage for Smart Tourism and Real-time Accessibility).
	Woźniak M.	Positioning traffic in NoSQL database systems by the use of particle swarm algorithm	2014	In this paper, application of particle swarm algorithm in positioning and optimization of traffic in NoSQL database is discussed. Sample system is modeled with independent 2-order hyper exponential input stream of packets and exponential service time distribution. Optimization is solved using particle swarm algorithm for various scenarios of operation.
	Nocera D.D.; Napoli C.D.; Rossi S.	A social-aware smart parking application	2014	The problem of finding parking spaces in big urban areas is one of the unsolved challenges of Smart Cities causing traffic congestion, increased carbon emission and time wasting. Network and sensor technologies available today allow to foresee Smart Cities equipped with applications able to provide real-time information on parking space availability, which can be used to assist motorists in looking for a parking space. In the present work, we propose a smart parking application that relies on the use of software agent negotiation as a mechanism to automate the selection of parking spaces according to the user preferences, but at the same time to take into account city needs in terms of areas motorists should avoid, or car pars occupancy at a specific time. Both city needs and user's preferences are dynamic information managed by the negotiation mechanism at the time a user's request is processed, so providing a dynamic-based selection of a parking space.
1	Monica S.; Bergenti F.	A stochastic model of self-stabilizing cellular automata for consensus formation	2014	In this paper we present a model of the dynamics of an interesting class of stochastic cellular automata. Such automata are variants of automata used for density classification and they are chosen because they can be effectively used to address consensus problems. After introducing the topic and the basic notation, we study the dynamics of such automata by means of simulations with varying periods and neighborhood structures. We use the results of simulations to extrapolate a stochastic model of the dynamics of such automata that can be used to estimate stabilization time.
1	Messina F.; Pappalardo G.; Santoro C.	Designing autonomous robots using GOLEM	2014	In this paper we present a goal model for the design of autonomous robots. A framework is proposed which allows a developer to design the behaviour of a robot in accordance with a rational model, which is conceived to let the autonomous system to mimic the human behaviour. The framework, called GOLEM, is based on the abstractions of goals and sub-goals, which are combined through specific relationships to specify the robot's activities; such activities, assembled together, form the rational behaviour of the autonomous system. The central motivation for the design of our framework is represented by the central issue of integrating full awareness and autonomy. Indeed, in the proposed solution the execution of goals does not obey a pre-fixed sequence; rather, the next goal to achieve is selected, each time, on the basis of an evaluation of its opportunity.
	Sapienza A.; Falcone R.; Castelfranchi C.	Trust on information sources: A theoretical and computation approach	2014	We start from the claim that trust in information sources is just a kind of social trust. We are interested in the fact that the relevance and the trustworthiness of the information acquired by an agent X from a given number of sources strictly depends and derives from the X's trust on each of these sources with respect the kind of that information. In this paper, we analyze the different dimensions of trust in information sources and formalize the degree of subjective certainty or strength of the X's belief P, considering three main factors: the X's trust about P just depending from the X's judgment of the source's competence and reliability; the sources' degree of certainty about P; and the X's degree of trust that P derives from that given source. Finally we present a computational approach based on fuzzy sets.
1	Fortino G.; Zedadra O.; Joueau N.; Seridi H.	A decentralized ant colony foraging model using only stigmergic communication	2014	This paper addresses the problem of foraging by a coordinated team of robots. This coordination is achieved by markers deposited by robots. In this paper, we present a novel decentralized behavioral model for multi robot foraging named cooperative c-marking agent model. In such model, each robot makes a decision according to the affluence of resource locations, either to spread information on a large scale in order to attract more agents or the opposite. Simulation results show that the proposed model outperforms the well-known c-marking agent model.
	Rosaci D.; Sarné G.M.L.	An agent-based architecture to recommend educational video	2014	Agent-based recommender systems are tools able to assist users' choices with suggestions coming closest to their orientations. In this context, it is relevant to identify those users that are the most similar to the target user in order to require them suitable suggestions. However, particularly when we deal with video contents for e-Learning, it should be appropriate also to consider (i) recommendations coming from those students resulted the most effective in suggesting video and (ii) the effects of the device currently exploited. To address such issues in a multimedia scenario, we propose a multi-agent trust based recommender architecture, called ELSA, appositely conceived to this aim. Some preliminary performed simulations permitted to evaluate our proposal with respect to the other considered agentbased RSs.
	Napoli C.; Pappalardo G.; Tramontana E.	An agent-driven semantical identifier using radial basis neural networks and reinforcement learning	2014	Due to the huge availability of documents in digital form, and the deception possibility raise bound to the essence of digital documents and the way they are spread, the authorship attribution problem has constantly increased its relevance. Nowadays, authorship attribution, for both information retrieval and analysis, has gained great importance in the context of security, trust and copyright preservation. This work proposes an innovative multi-agent driven machine learning technique that has been developed for authorship attribution. By means of a preprocessing for word-grouping and timeperiod related analysis of the common lexicon, we determine a bias reference level for the recurrence frequency of the words within analysed texts, and then train a Radial Basis Neural Networks (RBPNN)-based classifier to identify the correct author. The main advantage of the proposed approach lies in the generality of the semantic analysis, which can be applied to different contexts and lexical domains, without requiring any modification. Moreover, the proposed system is able to incorporate an external input, meant to tune the classifier, and then self-adjust by means of continuous learning reinforcement.
	Cervone F.; Sica V.; Staffa M.; Tamburro A.; Rossi S.	Comparing a social robot and a mobile application for movie recommendation: A pilot study	2015	Social robots can be used as interfaces to provide recommendations to users. While a vast literature compares the user's behavior when interacting with a robot with respect to a virtual agent, in this paper, we conduct a first evaluation on how the user's choices are affected if the recommendations are provided respectively by a mobile application or by social robots with different degree of interaction capabilities. This pilot study shows that the sole embodiment condition of the robot does not imply significant changes in the users' choices that prefer to interact with the mobile application. However, the adoption of additional communication channels such as gestures, gaze and voice pitch, which change accordingly to the suggested movie genre, improves the users acceptability.
	Woźniak M.	Recent possibilities of intelligent agents in distributed systems	2015	The article is to discuss recent advances in various aspects of intelligent agents that perform control functions in workflow management and data processing. Cloud-Computing brings various possibilities of novel approach to data management and efficient computer systems, however the process of distribution must be managed not only to increase efficiency but also lower energy consumption. This is a task for intelligent agents, that can play crucial role in modern computer science. In this article recent possibilities for these type of computer systems are discussed.
	Barile F.; Rossi A.; Staffa M.; Di Napoli C.; Rossi S.	A market mechanism for qos-aware multi-robot task allocation	2015	Market mechanisms, such as auctions and negotiations, are often used for efficient task allocation in multi-robot domains where tasks are characterized by quality parameters that are related to the way the task is executed depending on the specific robot capabilities. In these cases, usually robots negotiate their respective assignments in order to optimize task distribution according to their own utility function. In this work, a market-based negotiation mechanism is proposed to allocate tasks to a set of robots by taking into account end-to-end requirements that the complete allocation should meet in terms of the considered quality parameters. Negotiation takes place on these parameters that are considered goods to be traded by the individual robots, depending on their strategies, so that they can successfully negotiate to obtain the task allocation.
	Monica S.; Bergenti F.	Location-aware JADE agents in indoor scenarios	2015	This paper presents a novel JADE add-on that enables the implementation of location-aware agents by interfacing an underlying ranging technology which provides accurate distance measures both indoor and outdoor. First, the paper motivates the work and it presents the features and the architecture of the add-on. Then, the paper provides a detailed description of the implemented localization algorithms and it validates them in an indoor scenario. The experimental results show that accurate indoor localization can be achieved and that the presented addon can be used to support location-aware agents with sufficient accuracy for targeted educational and ludic applications.
	Crociani L.; Invernizzi A.; Vizzari G.	A hybrid agent architecture for endowing floor field pedestrian models with tactical level decisions	2015	For a comprehensive modeling of pedestrian dynamics in real-world scenarios the consideration of tactical level decisions in addition to operational ones is necessary. This paper presents a hybrid agent architecture employing a Floor Field approach at the operational level but granting agents an abstract representation of the simulated environment. The paper briefly presents the environmental model and hybrid agent architecture based on the floor field approach, then a sample practical application in a simple case study is also presented to show how it allows specifying abstract behavioural scripts for different groups of agents.
	Fornaia A.; Napoli C.; Pappalardo G.; Tramontana E.	An AO system for OO-GPU programming	2015	Recent technologies, like general purpose computing GPU, have a major limitation consisting in the difficulties that developers face when implementing parallel code using device-oriented languages. This paper aims to assist developers by automatically producing snippets of code handling GPU-oriented tasks. Our proposed approach is based on Aspect-Oriented-Programming and generates modules in CUDA C compliant code, which are encapsulated and connected by means of JNI. By means of a set of predefined functions we separate the application code from device-dependent concerns, including device memory allocation and management. Moreover, bandwidth utilisation and cores occupancy is automatically handled in order to minimise the overhead caused by host to device communications and the computational imbalance, which often tampers with the effective speedup of a GPU parallelised code.
	Monica S.; Bergenti F.	Simulations of opinion formation in multi-agent systems using kinetic theory	2015	In this paper we formulate the problem of opinion formation using a physical metaphore. We consider a multiagent system where each agent is associated with an opinion and interacts with any other agent. Interpreting the agents as the molecules of a gas, we model the evolution of opinion in the system according to a kinetic model based on the analysis of interactions among agents. From a microscopic description of each interaction between two agents, we derive the stationary profiles of the opinion under given assumption. Results show that, depending on the average opinion and on the parameters of the model, different profiles can be found, but all stationary profiles are characterized by the presence just of one or two maxima. Analytic results are confirmed by simulations shown in the last part of the paper.
	Amato A.; Scialdone M.; Venticinque S.	An application of learning agents to smart energy domains	2015	The main requirement for building an Internet of Things is the definition of smart objects in which it needs to put intelligence. The pervasive deployment of smart objects will add value to applications by capabilities of communication, negotiation, learning and distributed reasoning. In this paper we investigate how the paradigm shift from objects to agents is the driver for developing these capabilities by a case study in the context of Smart Energy application domain. In fact the paradigm shift we are seeing in these years is to consider the electricity network like an Internet of Energy, where each and every electrical device and generator will be connected in a network and able to communicate data and receive and react in real time to events and stimuli that arrive from other devices or from the grid: a scattered network of sensors, actuators, communication nodes, systems control and monitoring. Here we present the learning-based approach for power management in smart grids providing an agent-oriented modeling of the energy market. The main issue we focus on is a reasonable compromise between the resolution of the consuming profile representation and the performance and real time requirements of the system.
1	Cossentino M.; Lodato C.; Lopes S.; Sabatucci L.	MUSA: A middleware for user-driven service adaptation	2015	One of the current challenges of Service Oriented Engineering is to provide instruments for dealing with dynamic and unpredictable environments and changing user requirements. Traditional approaches based on static workflows provide little support for adapting at runtime the flow of activities. MUSA (Middleware for User-driven Service Adaptation) is a holonic multi-agent system for the self-adaptive composition and orchestration of services in a distributed environment.
1	Crociani L.; Piazzoni A.; Vizzari G.	Adaptive hybrid agents for tactical decisions in pedestrian environments	2015	This paper presents a hybrid agent architecture for modeling different types of decisions in a pedestrian simulation system. In particular, the present work focuses on tactical level decisions that are essentially related to the choice of a route to follow in an environment comprising several rooms connected by openings. These decisions are then enacted at the operational level by mean of a floor-field based model, in a discrete simulation approach. The described model allows the agent taking decisions based on a static a-priori knowledge of the environment and dynamic perceivable information on the current level of crowdedness of visible path alternatives. The paper presents the model formally, motivating the adopted choices with reference to the relevant state of the art. The model is also experimented in benchmark scenarios showing the adequacy in providing adaptiveness to the contextual situation.
	Bergenti F.; Iotti E.; Poggi A.	Outline of a formalization of JADE multi-agent systems	2015	This paper proposes a formalization of JADE agents and multi-agent systems based on transition systems. The first section introduces the aims and scope of the research and it focuses the content of the paper. The second section enumerates the abstractions and the structures used in the formalization. Successively, third section presents the formal semantics of the parts of a JADE-based source code that are involved in the management of (i) the life cycle of agents and (ii) the behaviours of agents. Fourth section shows a very simple JADE agent and it exemplifies the use of the proposed transition system. Finally, a brief recapitulation of the work concludes the paper.
